State,District,Cases
AndamanandNicobarIslands,NORTHANDMIDDLEANDAMAN,1
AndamanandNicobarIslands,SOUTHANDAMAN,8
AndamanandNicobarIslands,UNKNOWN,5
AndhraPradesh,ANANTAPUR,26
AndhraPradesh,CHITTOOR,28
AndhraPradesh,EASTGODAVARI,19
AndhraPradesh,GUNTUR,125
AndhraPradesh,KRISHNA,69
AndhraPradesh,KURNOOL,132
AndhraPradesh,PRAKASAM,44
AndhraPradesh,NELLORE,68
AndhraPradesh,VISAKHAPATNAM,20
AndhraPradesh,WESTGODAVARI,35
AndhraPradesh,KADAPA,37
ArunachalPradesh,LOHIT,1
Assam,CACHAR,2
Assam,DHUBRI,4
Assam,GOALPARA,4
Assam,GOLAGHAT,1
Assam,HAILAKANDI,1
Assam,JORHAT,8
Assam,KAMRUP,1
Assam,KAMRUPMETROPOLITAN,5
Assam,LAKHIMPUR,1
Assam,MORIGAON,3
Assam,NALBARI,3
Assam,SOUTHSALMARAMANCACHAR,1
Bihar,BEGUSARAI,9
Bihar,BHAGALPUR,1
Bihar,BUXAR,2
Bihar,GAYA,5
Bihar,GOPALGANJ,3
Bihar,LAKHISARAI,1
Bihar,MUNGER,17
Bihar,NALANDA,7
Bihar,NAWADA,3
Bihar,PATNA,7
Bihar,SARAN,1
Bihar,SIWAN,29
Bihar,VAISHALI,1
Chandigarh,CHANDIGARH,21
Chandigarh,UNKNOWN,2
Chhattisgarh,BILASPUR,1
Chhattisgarh,DURG,1
Chhattisgarh,KORBA,28
Chhattisgarh,RAIPUR,5
Chhattisgarh,RAJNANDGAON,1
Delhi,EASTDELHI,1
Delhi,NEWDELHI,5
Delhi,NORTHDELHI,3
Delhi,NORTHEASTDELHI,1
Delhi,NORTHWESTDELHI,3
Delhi,SOUTHDELHI,26
Delhi,SOUTHWESTDELHI,3
Delhi,UNKNOWN,1849
Delhi,WESTDELHI,2
Goa,NORTHGOA,4
Goa,UNKNOWN,3
Gujarat,AHMADABAD,861
Gujarat,ANAND,27
Gujarat,ARAVALLI,1
Gujarat,BANASKANTHA,9
Gujarat,BHARUCH,22
Gujarat,BHAVNAGAR,30
Gujarat,BOTAD,4
Gujarat,CHOTAUDAIPUR,6
Gujarat,DAHOD,3
Gujarat,GANDHINAGAR,17
Gujarat,GIRSOMNATH,2
Gujarat,JAMNAGAR,1
Gujarat,KACHCHH,4
Gujarat,KHEDA,3
Gujarat,MAHESANA,4
Gujarat,MAHISAGAR,2
Gujarat,MORBI,1
Gujarat,NARMADA,11
Gujarat,PANCHMAHALS,9
Gujarat,PATAN,15
Gujarat,PORBANDAR,3
Gujarat,RAJKOT,30
Gujarat,SABARKANTHA,2
Gujarat,SURAT,156
Gujarat,VADODARA,153
Haryana,AMBALA,7
Haryana,BHIWANI,2
Haryana,CHARKIDADRI,1
Haryana,FARIDABAD,33
Haryana,FATEHABAD,1
Haryana,GURUGRAM,32
Haryana,HISAR,2
Haryana,ITALIANS*,14
Haryana,JIND,2
Haryana,KAITHAL,2
Haryana,KARNAL,6
Haryana,KURUKSHETRA,2
Haryana,NUH,57
Haryana,PALWAL,34
Haryana,PANCHKULA,17
Haryana,PANIPAT,5
Haryana,ROHTAK,1
Haryana,SIRSA,4
Haryana,SONIPAT,7
Haryana,YAMUNANAGAR,3
HimachalPradesh,CHAMBA,6
HimachalPradesh,KANGRA,5
HimachalPradesh,SIRMAUR,1
HimachalPradesh,SOLAN,9
HimachalPradesh,UNA,15
HimachalPradesh,UNKNOWN,3
JammuandKashmir,ANANTNAG,2
JammuandKashmir,BADGAM,13
JammuandKashmir,BANDIPORE,80
JammuandKashmir,BARAMULA,42
JammuandKashmir,BUDAUN,1
JammuandKashmir,GANDERBAL,14
JammuandKashmir,JAMMU,26
JammuandKashmir,KISHTWAR,1
JammuandKashmir,KULGAM,5
JammuandKashmir,KUPWARA,27
JammuandKashmir,PULWAMA,3
JammuandKashmir,RAJOURI,3
JammuandKashmir,SAMBA,4
JammuandKashmir,SHUPIYAN,22
JammuandKashmir,SRINAGAR,78
JammuandKashmir,UDHAMPUR,20
Jharkhand,BOKARO,9
Jharkhand,DHANBAD,1
Jharkhand,GIRIDIH,1
Jharkhand,HAZARIBAGH,2
Jharkhand,KODARMA,1
Jharkhand,RANCHI,17
Jharkhand,SIMDEGA,1
Karnataka,BAGALKOTE,21
Karnataka,BALLARI,13
Karnataka,BELAGAVI,42
Karnataka,BENGALURU,100
Karnataka,BENGALURURURAL,5
Karnataka,BIDAR,14
Karnataka,CHIKKABALLAPURA,13
Karnataka,DAKSHINAKANNADA,13
Karnataka,DAVANAGERE,3
Karnataka,DHARWAD,7
Karnataka,GADAG,3
Karnataka,KALABURAGI,22
Karnataka,KODAGU,1
Karnataka,MANDYA,12
Karnataka,MYSURU,80
Karnataka,TUMAKURU,1
Karnataka,UDUPI,3
Karnataka,UTTARAKANNADA,10
Karnataka,VIJAYAPURA,21
Kerala,ALAPPUZHA,5
Kerala,ERNAKULAM,24
Kerala,IDUKKI,10
Kerala,KANNUR,85
Kerala,KASARAGOD,168
Kerala,KOLLAM,9
Kerala,KOTTAYAM,3
Kerala,KOZHIKODE,20
Kerala,MALAPPURAM,20
Kerala,PALAKKAD,8
Kerala,PATHANAMTHITTA,17
Kerala,THIRUVANANTHAPURAM,14
Kerala,THRISSUR,13
Kerala,WAYANAD,3
Ladakh,KARGIL,4
Ladakh,LEH,14
MadhyaPradesh,AGARMALWA,4
MadhyaPradesh,ALIRAJPUR,1
MadhyaPradesh,BARWANI,22
MadhyaPradesh,BETUL,2
MadhyaPradesh,BHOPAL,197
MadhyaPradesh,CHHINDWARA,4
